,acc,hit_rate,false_alarm.rate
lower_CI2.5,0.7978432740379026,0.6866570760654558,0.0833333333333333
median_CI50,0.8023255813953488,0.6943627450980392,0.086021505376344
upper_CI97.5,0.8062525201612903,0.7006493506493506,0.0895522388059701
