,comparison_index,model,model_add_predictor,F,Pr(>F),ss_diff,df_diff,ssr
0,0.0,acc_demean ~ num_meanings_human_demean + num_synonyms_human_demean,acc_demean ~ num_meanings_human_demean + num_synonyms_human_demean + log_orthographic_neighborhood_size_demean,,,,0.0,4.447921069644928
1,0.0,acc_demean ~ num_meanings_human_demean + num_synonyms_human_demean,acc_demean ~ num_meanings_human_demean + num_synonyms_human_demean + log_orthographic_neighborhood_size_demean,6.214156406518642,0.012766912164280069,0.016049152254267618,1.0,4.43187191739066
0,1.0,acc_demean ~ num_meanings_human_demean + num_synonyms_human_demean,acc_demean ~ num_meanings_human_demean + num_synonyms_human_demean + log_phonological_neighborhood_size_demean,,,,0.0,4.447921069644928
1,1.0,acc_demean ~ num_meanings_human_demean + num_synonyms_human_demean,acc_demean ~ num_meanings_human_demean + num_synonyms_human_demean + log_phonological_neighborhood_size_demean,8.128798077308229,0.004408871512501136,0.020970737383001037,1.0,4.426950332261927
0,2.0,acc_demean ~ num_meanings_human_demean + num_synonyms_human_demean,acc_demean ~ num_meanings_human_demean + num_synonyms_human_demean + log_orthographic_neighborhood_size_demean + log_phonological_neighborhood_size_demean,,,,0.0,4.447921069644928
1,2.0,acc_demean ~ num_meanings_human_demean + num_synonyms_human_demean,acc_demean ~ num_meanings_human_demean + num_synonyms_human_demean + log_orthographic_neighborhood_size_demean + log_phonological_neighborhood_size_demean,4.068804220931286,0.017263143397856097,0.021005542370937214,2.0,4.426915527273991
