,google_ngram_frequency,google_ngram_frequency,google_ngram_frequency,num_meanings_human,num_meanings_human,num_meanings_human,num_synonyms_human,num_synonyms_human,num_synonyms_human
,count,mean,std,count,mean,std,count,mean,std
frequency_bin,,,,,,,,,
low,703,-14.868697729261278,0.9322676414025142,703,1.3171707681521414,0.2545497585459715,703,1.5911363088975436,0.9734518621891832
medium,703,-12.896873925198602,0.449697681165034,703,1.3987254464228975,0.3032467513408574,703,1.6685461857555608,1.0060745725953624
high,703,-10.82489602554601,1.1142212236377897,703,1.5333079699793424,0.3879858721181994,703,1.8833902170942582,1.029215877429476
