,log_subtlex_frequency,log_subtlex_frequency,log_subtlex_frequency,num_meanings_human,num_meanings_human,num_meanings_human,num_synonyms_human,num_synonyms_human,num_synonyms_human
,count,mean,std,count,mean,std,count,mean,std
frequency_bin,,,,,,,,,
low,703,1.3817806543385491,0.3128143836655554,703,1.3050591441350914,0.23809060986760305,703,1.6377408234582826,0.9230173606802835
medium,703,2.0163395448079657,0.13141939260652843,703,1.4078422395076655,0.2976664925124386,703,1.731596699119881,1.0045786671084254
high,703,2.839330440967283,0.556425452790958,703,1.5363028009116242,0.3987104557558658,703,1.7737351891691993,1.0927731896059054
