,comparison_index,model,model_add_predictor,F,Pr(>F),ss_diff,df_diff,ssr
0,0.0,acc_demean ~ num_meanings_human_demean + num_synonyms_human_demean,acc_demean ~ num_meanings_human_demean + num_synonyms_human_demean + log_topic_variability_demean,,,,0.0,2.9810800655020144
1,0.0,acc_demean ~ num_meanings_human_demean + num_synonyms_human_demean,acc_demean ~ num_meanings_human_demean + num_synonyms_human_demean + log_topic_variability_demean,132.56943512687897,2.4363792229117495e-29,0.264424048199575,1.0,2.7166560173024394
