,comparison_index,model,model_add_predictor,F,Pr(>F),ss_diff,df_diff,ssr
0,0.0,acc_demean ~ num_meanings_human_demean + num_synonyms_human_demean,acc_demean ~ num_meanings_human_demean + num_synonyms_human_demean + log_orthographic_neighborhood_size_demean,,,,0.0,4.646822235285203
1,0.0,acc_demean ~ num_meanings_human_demean + num_synonyms_human_demean,acc_demean ~ num_meanings_human_demean + num_synonyms_human_demean + log_orthographic_neighborhood_size_demean,0.09780054342327238,0.7545200950082909,0.00024314497597188733,1.0,4.646579090309231
0,1.0,acc_demean ~ num_meanings_human_demean + num_synonyms_human_demean,acc_demean ~ num_meanings_human_demean + num_synonyms_human_demean + log_phonological_neighborhood_size_demean,,,,0.0,4.646822235285203
1,1.0,acc_demean ~ num_meanings_human_demean + num_synonyms_human_demean,acc_demean ~ num_meanings_human_demean + num_synonyms_human_demean + log_phonological_neighborhood_size_demean,0.7647130978330094,0.381969936882694,0.001900498924667815,1.0,4.644921736360535
0,2.0,acc_demean ~ num_meanings_human_demean + num_synonyms_human_demean,acc_demean ~ num_meanings_human_demean + num_synonyms_human_demean + log_orthographic_neighborhood_size_demean + log_phonological_neighborhood_size_demean,,,,0.0,4.646822235285203
1,2.0,acc_demean ~ num_meanings_human_demean + num_synonyms_human_demean,acc_demean ~ num_meanings_human_demean + num_synonyms_human_demean + log_orthographic_neighborhood_size_demean + log_phonological_neighborhood_size_demean,0.6633409951127741,0.5152487170574491,0.0032979015549967627,2.0,4.643524333730206
