word,WORD,SyntCat,Category,hits,misses,false_alarms,correct_rejections,log_freqs,log_word_len,Article,Word,X,Input.trial_,Experiment.x,meanings,meanings_n,Experiment.y,num_synonyms,syn_n,arousal,concrete,fam,image,valence,NgramFreqArticle,NgramFreqNoArticle,num_syn,r.given.w,w.given.r,Acc,false_alarm_rate,hit_rate
ALUMINIUM,ALUMINIUM,NOUN,chemical element,54,16,2,69,0.6629,0.54877,NaN,ALUMINIUM,70,ALUMINIUM,mm_mar_2013,1.14814814814815,27,mm_mar_2013,0.0833333333333333,24,2.27272727272727,4.6,4.71428571428571,3.67857142857143,3.34615384615385,-12.398024363199758,-12.398024363199758,1.0833333333333333,0.8709677419354825,0.9230769230769231,0.8723404255319149,0.028169014084507043,0.7714285714285715
ALVIN,ALVIN,NOUN,common names,56,23,5,86,0.6533,0.33431,NaN,ALVIN,65,ALVIN,mm_mar_2013,1.40740740740741,27,mm_mar_2013,0,25,2.56521739130435,3.77777777777778,3.75,3.17241379310345,3.15384615384615,-13.414770361409555,-13.414770361409555,1,0.7105263157894723,1,0.8352941176470589,0.054945054945054944,0.7088607594936709
AMAZING,AMAZING,ADJ,NaN,47,28,14,67,0.78864,0.45707,NaN,AMAZING,52,AMAZING,mm_mar_2013,1.6,25,mm_mar_2013,4,21,4.33333333333333,1.55555555555556,5,1.75862068965517,4.73076923076923,-10.93409560130487,-10.93409560130487,5,0.625,0.2,0.7307692307692307,0.1728395061728395,0.6266666666666667
AMBIEN,AMBIEN,NOUN,medicine,69,7,10,70,0.61605,0.40083,NaN,AMBIEN,49,AMBIEN,mm_mar_2013,1.12,25,mm_mar_2013,0.0526315789473684,19,2.14285714285714,4.34782608695652,4.31034482758621,3.84,2.92857142857143,-16.247158622689888,-16.247158622689888,1.0526315789473684,0.8928571428571428,0.9500000000000001,0.8910256410256411,0.125,0.9078947368421053
AMBIGUOUS,AMBIGUOUS,ADJ,NaN,67,19,16,76,0.6435,0.54877,NaN,AMBIGUOUS,50,AMBIGUOUS,mm_mar_2013,1.13793103448276,29,mm_mar_2013,2.73913043478261,23,2.66666666666667,1.47826086956522,4.41379310344828,1.48,2.46428571428571,-11.680425690344858,-11.680425690344858,3.73913043478261,0.8787878787878777,0.2674418604651162,0.8033707865168539,0.17391304347826086,0.7790697674418605
AN ABALONE,an ABALONE,NOUN,living things,68,20,7,84,0.28579,0.45707,an,ABALONE,72,AN ABALONE,mm_mar_2013,1.05263157894737,19,mm_mar_2013,0.333333333333333,18,1.95454545454545,4.31034482758621,2.63333333333333,2.5,3.2,-18.231211359500755,-14.982311938788182,1.333333333333333,0.9499999999999986,0.7500000000000002,0.8491620111731844,0.07692307692307693,0.7727272727272727
AN ACCOUNTANT,an ACCOUNTANT,NOUN,people,61,20,21,64,0.53905,0.58721,an,ACCOUNTANT,66,AN ACCOUNTANT,mm_mar_2013,1.19230769230769,26,mm_mar_2013,1.52,25,1.69565217391304,4.33333333333333,4.92857142857143,4,2.96153846153846,-14.085285718424409,-12.54508810726165,2.52,0.8387096774193564,0.3968253968253968,0.7530120481927711,0.24705882352941178,0.7530864197530864
AN ACTUARY,an ACTUARY,NOUN,people,54,26,4,81,0.41979,0.45707,an,ACTUARY,63,AN ACTUARY,mm_mar_2013,1.1,20,mm_mar_2013,1.14285714285714,21,2.04347826086957,3.875,2.90909090909091,2.34782608695652,2.89655172413793,-16.890523760741015,-15.154541914308455,2.1428571428571397,0.9090909090909091,0.46666666666666734,0.8181818181818182,0.047058823529411764,0.675
AN ADDICT,an ADDICT,NOUN,people,63,12,15,67,0.49444,0.40083,an,ADDICT,64,AN ADDICT,mm_mar_2013,1.04,25,mm_mar_2013,1.85,20,3.52173913043478,3.4,4.72413793103448,3.26923076923077,1.60714285714286,-14.669947270614568,-13.053201093404208,2.85,0.9615384615384615,0.3508771929824561,0.8280254777070064,0.18292682926829268,0.84
AN ADJUSTER,an ADJUSTER,NOUN,people,42,27,10,67,0.35221,0.50579,an,ADJUSTER,53,AN ADJUSTER,mm_mar_2013,1.45833333333333,24,mm_mar_2013,1.23809523809524,21,2.14285714285714,3.19230769230769,4.39285714285714,1.93103448275862,2.84615384615385,-17.965207268492062,-14.983693408744097,2.23809523809524,0.6857142857142873,0.4468085106382975,0.7465753424657534,0.12987012987012986,0.6086956521739131
AN ADMINISTRATOR,an ADMINISTRATOR,NOUN,people,69,17,16,72,0.58437,0.68293,an,ADMINISTRATOR,71,AN ADMINISTRATOR,mm_mar_2013,1.30769230769231,26,mm_mar_2013,1.5,26,2.61904761904762,3.73076923076923,4.71428571428571,2.82142857142857,3.26923076923077,-14.027428869067451,-11.285383958134375,2.5,0.7647058823529399,0.4,0.8103448275862069,0.18181818181818182,0.8023255813953488
AN ADMIRER,an ADMIRER,NOUN,people,47,28,12,75,0.44206,0.45707,an,ADMIRER,65,AN ADMIRER,mm_mar_2013,1.24,25,mm_mar_2013,2.19047619047619,21,4.1304347826087,3.45,4.86206896551724,2.61538461538462,4.32142857142857,-14.942085344636782,-13.585238263090195,3.19047619047619,0.8064516129032259,0.3134328358208956,0.7530864197530864,0.13793103448275862,0.6266666666666667
AN AGENT,an AGENT,NOUN,people,55,32,16,80,0.66157,0.33431,an,AGENT,69,AN AGENT,mm_mar_2013,2.18518518518519,27,mm_mar_2013,2.21739130434783,23,3.08,3.58333333333333,4.68,3.07407407407407,3.1,-12.144559778983924,-9.769503771838385,3.21739130434783,0.4576271186440668,0.3108108108108104,0.7377049180327869,0.16666666666666666,0.632183908045977
AN ALBATROSS,an ALBATROSS,NOUN,living things,57,21,8,80,0.37883,0.54877,an,ALBATROSS,72,AN ALBATROSS,mm_mar_2013,1.56521739130435,23,mm_mar_2013,0.428571428571429,21,3.45454545454545,4.08,3.96428571428571,3.75,3.03846153846154,-16.379225690475586,-14.445073336754744,1.428571428571429,0.6388888888888881,0.6999999999999997,0.8253012048192772,0.09090909090909091,0.7307692307692307
AN ALLEN WRENCH,an ALLEN WRENCH,NOUN,tool,54,10,7,61,0.26854,0.65373,an,ALLEN WRENCH,73,AN ALLEN WRENCH,mm_mar_2013,1.14285714285714,28,mm_mar_2013,0.4,25,2.22727272727273,4.82758620689655,4.26666666666667,4.88461538461539,3.16666666666667,-18.881986226225333,-17.977391942131856,1.4,0.8750000000000022,0.7142857142857143,0.8712121212121212,0.10294117647058823,0.84375
AN ALLIGATOR,an ALLIGATOR,NOUN,living things,68,16,12,88,0.43669,0.54877,an,ALLIGATOR,67,AN ALLIGATOR,mm_mar_2013,1.11111111111111,27,mm_mar_2013,0.708333333333333,24,4.47826086956522,4.81481481481481,4.85714285714286,4.89285714285714,2.80769230769231,-15.630614043035123,-13.805392954816787,1.708333333333333,0.9000000000000009,0.5853658536585367,0.8478260869565217,0.12,0.8095238095238095
