Word,pos_ntlk,pos_category
meadowlark,NN,NOUN
kitchen,NN,NOUN
cora,NNS,NOUN
louisiana,NN,NOUN
hotels,NNS,NOUN
ridiculously,RB,ADV
pawnee,NN,NOUN
unparalleled,JJ,ADJ
perky,NN,NOUN
alienist,NN,NOUN
wet,NN,NOUN
amputate,NN,NOUN
mach,NN,NOUN
vortex,NN,NOUN
dennis,NN,NOUN
muddy,NN,NOUN
instigator,NN,NOUN
cubicles,NNS,NOUN
swaggering,VBG,VERB
retired,VBN,VERB
businessmen,NNS,NOUN
ink,NN,NOUN
comedian,NN,NOUN
doris,NN,NOUN
pinched,VBN,VERB
karen,NNS,NOUN
fifteen,NN,NOUN
bead,NN,NOUN
cupboards,NNS,NOUN
unto,NN,NOUN
unbelievable,JJ,ADJ
joyous,JJ,ADJ
evils,NNS,NOUN
undomesticated,JJ,ADJ
bedside,NN,NOUN
jade,NN,NOUN
insurrection,NN,NOUN
remodeling,VBG,VERB
wedgies,NNS,NOUN
eons,NNS,NOUN
feminist,NN,NOUN
donald,NN,NOUN
elk,NN,NOUN
chronometer,NN,NOUN
turnip,NN,NOUN
mass,NN,NOUN
wattle,NN,NOUN
padre,NN,NOUN
gob,NN,NOUN
though,IN,OTHER
forthcoming,VBG,VERB
delaware,NN,NOUN
butchered,VBN,VERB
adorable,JJ,ADJ
loverly,RB,ADV
kingston,NN,NOUN
swordfish,NN,NOUN
ascending,VBG,VERB
miller,NN,NOUN
heck,NN,NOUN
punks,NNS,NOUN
hotshot,NN,NOUN
marketing,NN,NOUN
boots,NNS,NOUN
veronica,NN,NOUN
benched,VBN,VERB
cloud,NN,NOUN
crafty,NN,NOUN
ridley,NN,NOUN
forests,NNS,NOUN
banister,NN,NOUN
tardy,NN,NOUN
prosecuted,VBN,VERB
scowling,VBG,VERB
frolics,NNS,NOUN
sponges,NNS,NOUN
pathetic,JJ,ADJ
splinter,NN,NOUN
wartime,NN,NOUN
reich,NN,NOUN
polar,NN,NOUN
incision,NN,NOUN
