,Word,Word.1,hits,misses,correct rejections,false alarms,acc,false_alarm_rate,hit_rate,num_synonyms,num_ratings_synonyms,num_meanings,num_ratings_meanings,word_upper,word,arousal,concrete,fam,image,valence,pos,num_meanings_wordnet,num_synonyms_wordnet,Lg10WF,Lg10CD,google_ngram_frequency,LgTV_T=1700,LgDF,orth_neighborhood,phon_neighborhood,log_orth_neighborhood,log_phon_neighborhood,GloVe distinctiveness
32,EISENHOWER,EISENHOWER,53,7,70,2,0.9318181818181818,0.0277777777777777,0.8833333333333333,0.0476190476190476,21.0,1.0344827586206895,29.0,EISENHOWER,EISENHOWER,2.54166666666667,4.33333333333333,4.2962962962963,4.11111111111111,3.48148148148148,n,1,6,2.1644,1.9138,-12.353802436699382,1.839226,4.290459,0.0,0.0,0.0,0.0,0.08299650716317213
33,MANNEQUIN,MANNEQUIN,53,7,58,12,0.8538461538461538,0.1714285714285714,0.8833333333333333,1.0869565217391304,23.0,1.1111111111111112,27.0,MANNEQUIN,MANNEQUIN,1.94444444444444,4.85714285714286,4.74074074074074,4.8695652173913,2.92857142857143,n,2,11,1.7993,1.6128,-14.63837300606951,,,1.0,1.0,0.6931471805599453,0.6931471805599453,0.09801597538930797
34,BIKINI,BIKINI,68,9,85,3,0.9272727272727272,0.034090909090909,0.8831168831168831,1.7272727272727273,22.0,1.2592592592592593,27.0,BIKINI,BIKINI,4.4,4.52,5.0,4.79166666666667,4.17857142857143,n,2,3,2.2765,2.1271,-13.445627823294704,,,2.0,1.0,1.0986122886681098,0.6931471805599453,0.1002214251346848
35,COCCYX,COCCYX,67,9,83,1,0.9375,0.0119047619047619,0.881578947368421,0.5714285714285714,14.0,1.0,19.0,COCCYX,COCCYX,2.66666666666667,3.92,2.44444444444444,3.18518518518519,2.96296296296296,n,1,2,0.9031,0.9031,-15.20086406575563,,,,,,,0.04694147935894566
36,ALZHEIMER,ALZHEIMER,74,10,86,6,0.9090909090909092,0.0652173913043478,0.8809523809523809,0.2307692307692307,26.0,1.0384615384615383,26.0,ALZHEIMER,ALZHEIMER,2.95652173913043,2.92592592592593,4.46153846153846,2.58333333333333,1.17857142857143,,0,0,1.9345,1.7404,-11.939127143340729,,,0.0,0.0,0.0,0.0,0.059637280047658885
37,PUSSYFOOT,PUSSYFOOT,66,9,81,4,0.91875,0.0470588235294117,0.88,2.0,20.0,1.4,25.0,PUSSYFOOT,PUSSYFOOT,2.63636363636364,2.04,3.89655172413793,2.07407407407407,2.3448275862069,v,1,4,0.9031,0.9031,-17.36187643048656,,,,,,,0.07472081357517218
38,DIVA,DIVA,80,11,90,11,0.8854166666666666,0.1089108910891089,0.8791208791208791,2.586206896551724,29.0,1.5555555555555556,27.0,DIVA,DIVA,3.95833333333333,3.12,4.6,3.53571428571429,2.53571428571429,n,1,2,1.8976,1.4472,-14.248228600058097,,,2.0,2.0,1.0986122886681098,1.0986122886681098,0.10200504099166299
39,KNUCKLEHEADS,KNUCKLEHEADS,80,11,91,10,0.890625,0.099009900990099,0.8791208791208791,2.347826086956522,23.0,1.0740740740740742,27.0,KNUCKLEHEADS,KNUCKLEHEADS,3.38888888888889,2.39285714285714,4.67857142857143,3.1304347826087,2.14285714285714,n,1,13,1.4314,1.415,-17.248299246549397,,,1.0,0.0,0.6931471805599453,0.0,0.08908958295600655
40,BATMAN,BATMAN,64,9,74,3,0.92,0.0389610389610389,0.8767123287671232,0.3333333333333333,24.0,1.0384615384615383,26.0,BATMAN,BATMAN,3.88888888888889,4.57142857142857,4.89285714285714,5.0,3.92857142857143,n,1,1,2.3802,1.9638,-13.329537742493043,,,5.0,0.0,1.791759469228055,0.0,0.10951015739393706
41,LINGERIE,LINGERIE,64,9,68,11,0.868421052631579,0.1392405063291139,0.8767123287671232,2.0,23.0,1.0,28.0,LINGERIE,LINGERIE,4.41666666666667,4.6,4.85714285714286,4.80769230769231,3.92857142857143,n,1,2,2.1614,2.0682,-14.007726215702307,,,0.0,0.0,0.0,0.0,0.08412153983360775
42,FATTY,FATTY,71,10,82,6,0.9053254437869822,0.0681818181818181,0.8765432098765432,2.391304347826087,23.0,1.8888888888888888,27.0,FATTY,FATTY,2.83333333333333,2.92857142857143,4.85714285714286,3.95652173913043,1.71428571428571,n,2,7,2.4166,2.1206,-11.281586225503368,2.125251,3.970292,4.0,10.0,1.6094379124341005,2.3978952727983707,0.09253236358097407
43,NAPA,NAPA,63,9,67,13,0.8552631578947368,0.1625,0.875,0.1764705882352941,17.0,1.4074074074074074,27.0,NAPA,NAPA,2.40909090909091,3.92307692307692,3.62068965517241,2.88888888888889,3.24137931034483,n,1,5,1.699,1.4314,-14.262957961957625,,,5.0,3.0,1.791759469228055,1.3862943611198906,0.08212613723634231
44,MANHATTAN,MANHATTAN,70,10,80,6,0.9036144578313252,0.0697674418604651,0.875,0.4583333333333333,24.0,1.5714285714285714,28.0,MANHATTAN,MANHATTAN,4.0,4.29166666666667,4.67857142857143,4.42307692307692,3.35714285714286,n,2,2,2.7987,2.5821,-12.078269152982877,2.636077,4.317488,0.0,0.0,0.0,0.0,0.11802516520690633
45,MASTIFF,MASTIFF,77,11,84,13,0.8702702702702703,0.134020618556701,0.875,0.4166666666666667,24.0,1.0434782608695652,23.0,MASTIFF,MASTIFF,3.43478260869565,4.37037037037037,4.23076923076923,4.0,3.32142857142857,n,1,1,0.8451,0.8451,-15.312453540843052,,,,,,,0.08041990178428722
46,DIKE,DIKE,56,8,65,6,0.8962962962962963,0.0845070422535211,0.875,1.809523809523809,21.0,1.52,25.0,DIKE,DIKE,2.85714285714286,3.76923076923077,3.625,3.42307692307692,2.76923076923077,n,3,8,1.3424,1.0792,-14.103206623625184,1.625967,2.302585,17.0,33.0,2.8903717578961645,3.5263605246161616,0.08794246857616478
47,MANUFACTURING,MANUFACTURING,69,10,66,20,0.8181818181818182,0.2325581395348837,0.8734177215189873,2.6206896551724137,29.0,1.2962962962962965,27.0,MANUFACTURING,MANUFACTURING,2.375,2.96,4.96666666666667,3.28571428571429,3.17857142857143,n,5,13,1.9395,1.8633,-10.398441987932491,2.935628,5.758902,0.0,0.0,0.0,0.0,0.06593652523584843
48,LOONY,LOONY,69,10,75,11,0.8727272727272727,0.127906976744186,0.8734177215189873,4.0,26.0,1.5517241379310345,29.0,LOONY,LOONY,3.72727272727273,1.69230769230769,4.44827586206897,2.51851851851852,2.37931034482759,n,2,28,2.0934,2.0294,-14.988405013462405,,,3.0,8.0,1.3862943611198906,2.19722457733622,0.12204166412573988
49,STRAIGHTJACKET,STRAIGHTJACKET,69,10,79,6,0.902439024390244,0.0705882352941176,0.8734177215189873,0.5517241379310345,29.0,1.148148148148148,27.0,STRAIGHTJACKET,STRAIGHTJACKET,4.25,4.68,4.55172413793103,4.82142857142857,1.60714285714286,n,1,2,0.9031,0.8451,-16.180015079467488,,,,,,,0.08183219124666413
50,EXORCISM,EXORCISM,75,11,89,5,0.9111111111111112,0.0531914893617021,0.872093023255814,0.5454545454545454,22.0,1.1851851851851851,27.0,EXORCISM,EXORCISM,4.40909090909091,2.24,4.66666666666667,3.57692307692308,1.5,n,1,2,1.9823,1.4771,-14.120939592531537,,,2.0,0.0,1.0986122886681098,0.0,0.08771969314095533
51,HOODIE,HOODIE,68,10,76,10,0.8780487804878049,0.1162790697674418,0.8717948717948718,1.619047619047619,21.0,1.2692307692307692,26.0,HOODIE,HOODIE,2.22727272727273,4.72,4.875,4.88461538461539,3.5,,0,0,1.0414,0.9542,-14.355465821555208,,,,,,,0.08136054801870593
52,CONCESSION,CONCESSION,61,9,53,25,0.7702702702702703,0.3205128205128205,0.8714285714285714,2.458333333333333,24.0,1.8571428571428568,28.0,CONCESSION,CONCESSION,2.72,2.44,4.75,2.69230769230769,3.11111111111111,n,3,6,1.8451,1.7709,-12.467298511284994,2.474435,2.890372,3.0,3.0,1.3862943611198906,1.3862943611198906,0.09416153976023937
53,DOMINATRIX,DOMINATRIX,81,12,96,4,0.917098445595855,0.04,0.8709677419354839,0.7619047619047619,21.0,1.0,27.0,DOMINATRIX,DOMINATRIX,4.5,3.84,3.92592592592593,4.44444444444444,2.51851851851852,n,1,1,1.3617,1.2553,-15.5523824879135,,,0.0,0.0,0.0,0.0,0.07648777943114528
54,YEN,YEN,74,11,85,7,0.8983050847457628,0.0760869565217391,0.8705882352941177,0.9047619047619048,21.0,1.2916666666666667,24.0,YEN,YEN,2.71428571428571,3.65384615384615,3.83333333333333,3.53846153846154,3.4,n,3,8,2.4955,2.0,-12.725334726486054,1.321756,2.484907,21.0,26.0,3.091042453358316,3.295836866004329,0.05579777884704479
55,GONZO,GONZO,67,10,64,19,0.81875,0.2289156626506024,0.8701298701298701,0.7647058823529411,17.0,1.4545454545454546,22.0,GONZO,GONZO,3.29166666666667,2.44,3.25925925925926,3.22222222222222,3.07692307692308,s,1,10,2.0043,1.3424,-15.83963066379422,,,0.0,0.0,0.0,0.0,0.08647775066361066
