,word_upper,word_lower,syntactic_category,semantic_category,acc,hits,misses,correct.rejections,false.alarms,# meanings (human),# synonyms (human),Google n-gram frequency,Google n-gram frequency no article,Arousal,Concreteness,Familiarity,Imageability,Valence,# subjects (human) meanings,1/# meanings (human),# subjects (human) synonyms,# synonyms (human) + 1,1/# synonyms (human),experiment_date,input_trial,article,word_no_article_upper,word_no_article_lower,multi_word,false.alarm.rate,hit.rate
0,A BABOON,a baboon,NOUN,living things,0.8231292517006803,51,21,70,5,1.25925925925926,0.8,-16.19678609686154,-14.385768860965399,3.65217391304348,4.62962962962963,4.78571428571429,4.79310344827586,3.23076923076923,27,0.7941176470588229,25,1.8,0.5555555555555556,mm_mar_2013,A BABOON,a,BABOON,baboon,1.0,0.06666666666666668,0.7083333333333334
1,A BACHELOR,a bachelor,NOUN,family relations,0.8405797101449275,60,6,56,16,1.32,1.65,-13.37027963977946,-12.252586969619546,3.17391304347826,3.85,4.89655172413793,3.19230769230769,3.35714285714286,25,0.7575757575757576,20,2.65,0.37735849056603776,mm_mar_2013,A BACHELOR,a,BACHELOR,bachelor,1.0,0.2222222222222222,0.9090909090909092
2,A BAGGAGE MAN,a baggage man,NOUN,people,0.8858695652173914,71,17,92,4,1.17857142857143,1.3478260869565202,-21.50302506698461,-19.20081720782488,2.13636363636364,4.17241379310345,3.56666666666667,3.9615384615384603,2.96551724137931,28,0.8484848484848475,23,2.34782608695652,0.4259259259259263,mm_mar_2013,A BAGGAGE MAN,a,BAGGAGE MAN,baggage man,1.0,0.04166666666666666,0.8068181818181818
3,A BAKING TRAY,a baking tray,NOUN,household item,0.8187919463087249,45,26,77,1,1.03333333333333,1.34615384615385,-15.7829182708958,-15.155471095838692,1.90909090909091,4.79310344827586,4.63333333333333,4.57692307692308,3.43333333333333,30,0.9677419354838741,26,2.3461538461538503,0.42622950819672056,mm_mar_2013,A BAKING TRAY,a,BAKING TRAY,baking tray,1.0,0.01282051282051282,0.6338028169014085
4,A BANANA SPLIT,a banana split,NOUN,food,0.9069767441860463,70,12,86,4,1.13333333333333,0.304347826086957,-17.631824086343443,-16.634037979318,3.6190476190476204,4.65217391304348,4.85714285714286,4.8,4.5,30,0.8823529411764732,23,1.304347826086957,0.7666666666666664,mm_mar_2013,A BANANA SPLIT,a,BANANA SPLIT,banana split,1.0,0.04444444444444445,0.8536585365853658
5,A BARITONE SAXOPHONE,a baritone saxophone,NOUN,musical instruments,0.8766233766233766,56,16,79,3,1.0,0.0476190476190476,-20.809877878857986,-17.906416206143913,3.0,4.69565217391304,3.79310344827586,4.28,3.53571428571429,28,1.0,21,1.0476190476190477,0.9545454545454544,mm_mar_2013,A BARITONE SAXOPHONE,a,BARITONE SAXOPHONE,baritone saxophone,1.0,0.03658536585365853,0.7777777777777778
6,A BARKEEPER,a barkeeper,NOUN,people,0.8586956521739131,67,21,91,5,1.11111111111111,2.0,-19.719610957336744,-16.97784554811252,3.0,4.19230769230769,4.57692307692308,4.15384615384615,3.4137931034482794,27,0.9000000000000009,23,3.0,0.3333333333333333,mm_mar_2013,A BARKEEPER,a,BARKEEPER,barkeeper,1.0,0.052083333333333336,0.7613636363636364
7,A BARONESS,a baroness,NOUN,people,0.8376623376623377,53,21,76,4,1.04166666666667,0.6363636363636359,-17.491749437945572,-13.726070676558836,3.2,3.56,3.68,2.88461538461538,3.03333333333333,24,0.9599999999999967,22,1.636363636363636,0.6111111111111113,mm_mar_2013,A BARONESS,a,BARONESS,baroness,1.0,0.05,0.7162162162162162
8,A BASS CLARINET,a bass clarinet,NOUN,musical instruments,0.8345323741007195,48,18,68,5,1.0,0.0454545454545455,-19.66049326676431,-16.596365381394804,2.71428571428571,4.56521739130435,3.7241379310344795,4.64,3.53571428571429,27,1.0,22,1.0454545454545454,0.9565217391304348,mm_mar_2013,A BASS CLARINET,a,BASS CLARINET,bass clarinet,1.0,0.0684931506849315,0.7272727272727273
9,A BASS VIOLA,a bass viola,NOUN,musical instruments,0.8538011695906432,59,23,87,2,1.0,0.0,-22.329703630440488,-20.859045224629085,2.6666666666666696,4.26086956521739,3.21428571428571,4.56,3.64285714285714,27,1.0,21,1.0,1.0,mm_mar_2013,A BASS VIOLA,a,BASS VIOLA,bass viola,1.0,0.02247191011235955,0.7195121951219512
10,A BASSIST,a bassist,NOUN,people,0.7865853658536586,50,28,79,7,1.2,0.555555555555556,-18.254043445278825,-15.226734093972098,2.95652173913043,4.5,4.24137931034483,3.38461538461538,3.60714285714286,20,0.8333333333333334,18,1.5555555555555558,0.6428571428571427,mm_mar_2013,A BASSIST,a,BASSIST,bassist,1.0,0.08139534883720931,0.6410256410256411
11,A BASTING BRUSH,a basting brush,NOUN,household item,0.8163265306122449,59,34,101,2,1.0,0.545454545454545,-20.07092113945377,-18.771821566289614,2.61904761904762,4.31818181818182,4.03448275862069,4.4,3.35714285714286,25,1.0,22,1.545454545454545,0.647058823529412,mm_mar_2013,A BASTING BRUSH,a,BASTING BRUSH,basting brush,1.0,0.019417475728155338,0.6344086021505376
12,A BATHROBE,a bathrobe,NOUN,clothing,0.7869822485207101,58,23,75,13,1.0,0.72,-15.99488182787684,-14.209284847866652,2.13636363636364,4.96153846153846,4.75,4.67857142857143,3.76923076923077,27,1.0,25,1.72,0.5813953488372093,mm_mar_2013,A BATHROBE,a,BATHROBE,bathrobe,1.0,0.14772727272727273,0.7160493827160493
13,A BATHROOM,a bathroom,NOUN,building components,0.6984924623115578,49,47,90,13,1.22222222222222,3.0,-13.937109758318375,-10.878047420215823,2.17391304347826,4.703703703703701,5.0,4.79310344827586,3.0384615384615397,27,0.8181818181818196,25,4.0,0.25,mm_mar_2013,A BATHROOM,a,BATHROOM,bathroom,1.0,0.1262135922330097,0.5104166666666666
14,A BAY,a bay,NOUN,earth formation,0.7810650887573964,51,28,81,9,1.82758620689655,1.72,-14.758936503072098,-9.7323459773504,2.54545454545455,4.03448275862069,4.6,4.23076923076923,3.53333333333333,29,0.5471698113207553,25,2.72,0.36764705882352944,mm_mar_2013,A BAY,a,BAY,bay,1.0,0.1,0.6455696202531646
15,A BEAVER,a beaver,NOUN,living things,0.8380281690140845,47,19,72,4,1.76,0.55,-15.688383740957393,-12.940595668239526,2.5652173913043503,4.75,4.89655172413793,4.846153846153849,3.5,25,0.5681818181818182,20,1.55,0.6451612903225806,mm_mar_2013,A BEAVER,a,BEAVER,beaver,1.0,0.05263157894736842,0.7121212121212122
16,A BED,a bed,NOUN,furniture,0.774869109947644,55,34,93,9,1.85185185185185,2.0,-12.348612347185965,-9.021147386694553,2.44,4.8,4.88,4.8148148148148096,4.23333333333333,27,0.5400000000000005,23,3.0,0.3333333333333333,mm_mar_2013,A BED,a,BED,bed,1.0,0.08823529411764706,0.6179775280898876
17,A BEEKEEPER,a beekeeper,NOUN,people,0.8541666666666666,56,12,67,9,1.0,0.32,-17.188297899325786,-15.55629641637872,3.2727272727272703,4.37037037037037,4.53571428571429,4.25,3.57692307692308,27,1.0,25,1.32,0.7575757575757576,mm_mar_2013,A BEEKEEPER,a,BEEKEEPER,beekeeper,1.0,0.11842105263157895,0.8235294117647058
18,A BELLBOY,a bellboy,NOUN,people,0.7958115183246073,62,30,90,9,1.07692307692308,1.16666666666667,-17.44954907496584,-15.933726836623233,2.34782608695652,4.37037037037037,4.75,4.41379310344828,3.19230769230769,26,0.928571428571426,24,2.1666666666666696,0.4615384615384608,mm_mar_2013,A BELLBOY,a,BELLBOY,bellboy,1.0,0.09090909090909093,0.6739130434782609
19,A BIDDER,a bidder,NOUN,people,0.7062146892655368,35,49,90,3,1.39285714285714,1.125,-15.984563784795036,-13.334184429873691,3.54545454545455,3.6666666666666696,4.44444444444444,3.0714285714285694,3.42307692307692,28,0.7179487179487195,24,2.125,0.4705882352941176,mm_mar_2013,A BIDDER,a,BIDDER,bidder,1.0,0.03225806451612903,0.4166666666666667
20,A BIOLOGIST,a biologist,NOUN,people,0.8169014084507042,46,21,70,5,1.07407407407407,0.8076923076923079,-15.33508742483198,-13.513083349454405,2.3043478260869596,4.19230769230769,4.72,3.13333333333333,3.5714285714285694,27,0.9310344827586242,26,1.8076923076923082,0.553191489361702,mm_mar_2013,A BIOLOGIST,a,BIOLOGIST,biologist,1.0,0.06666666666666668,0.6865671641791045
21,A BLACK BEAR,a black bear,NOUN,living things,0.8324022346368715,59,26,90,4,1.0,0.34782608695652195,-16.47136241933853,-14.8981204769928,4.12,4.84,4.653846153846151,4.77777777777778,3.03333333333333,27,1.0,23,1.347826086956522,0.7419354838709676,mm_mar_2013,A BLACK BEAR,a,BLACK BEAR,black bear,1.0,0.0425531914893617,0.6941176470588235
22,A BLACKBERRY,a blackberry,NOUN,food,0.8496732026143791,57,14,73,9,1.8333333333333302,0.34782608695652195,-16.247023593954527,-13.458078021128387,3.3333333333333304,4.65217391304348,4.62068965517241,4.8,4.0,30,0.5454545454545464,23,1.347826086956522,0.7419354838709676,mm_mar_2013,A BLACKBERRY,a,BLACKBERRY,blackberry,1.0,0.1097560975609756,0.8028169014084507
23,A BLOWDART,a blowdart,NOUN,weapon,0.8789808917197452,58,17,80,2,1.0,0.409090909090909,-22.715343281758013,-20.491424195891053,3.7826086956521703,4.625,3.68181818181818,4.54166666666667,2.2333333333333303,23,1.0,22,1.4090909090909092,0.7096774193548387,mm_mar_2013,A BLOWDART,a,BLOWDART,blowdart,1.0,0.024390243902439025,0.7733333333333333
24,A BLOWFISH,a blowfish,NOUN,living things,0.7714285714285715,63,21,72,19,1.24,0.75,-18.5690388838608,-16.37720271319548,3.0,4.85,4.51724137931035,4.46153846153846,3.03571428571429,25,0.8064516129032259,20,1.75,0.5714285714285714,mm_mar_2013,A BLOWFISH,a,BLOWFISH,blowfish,1.0,0.2087912087912088,0.75
25,A BOLT,a bolt,NOUN,tool,0.7733333333333333,50,22,66,12,2.1666666666666696,1.38461538461538,-13.89890505937428,-11.873489301045971,3.0476190476190497,4.2758620689655205,4.56666666666667,4.26923076923077,3.0,30,0.4615384615384608,26,2.38461538461538,0.4193548387096783,mm_mar_2013,A BOLT,a,BOLT,bolt,1.0,0.15384615384615385,0.6944444444444444
26,A BONGO DRUM,a bongo drum,NOUN,musical instruments,0.8869047619047619,62,17,87,2,1.0,0.25,-19.20044000577062,-18.72266232995322,3.3333333333333304,4.55555555555556,4.53571428571429,4.48275862068965,3.73076923076923,24,1.0,20,1.25,0.8,mm_mar_2013,A BONGO DRUM,a,BONGO DRUM,bongo drum,1.0,0.02247191011235955,0.7848101265822784
27,A BOOMERANG,a boomerang,NOUN,weapon,0.8671328671328671,59,9,65,10,1.51851851851852,0.791666666666667,-16.336238165679045,-14.492374809136805,3.56,4.58333333333333,4.57692307692308,4.481481481481481,3.56666666666667,27,0.658536585365853,24,1.791666666666667,0.5581395348837208,mm_mar_2013,A BOOMERANG,a,BOOMERANG,boomerang,1.0,0.13333333333333333,0.8676470588235294
28,A BOY,a boy,NOUN,family relations,0.7756410256410257,46,28,75,7,1.3076923076923102,2.55,-11.386100282898562,-9.278687115867086,2.8695652173912998,4.7,4.89655172413793,4.46153846153846,3.46428571428571,26,0.7647058823529399,20,3.55,0.28169014084507044,mm_mar_2013,A BOY,a,BOY,boy,1.0,0.08536585365853659,0.6216216216216216
29,A BRAZIL NUT,a brazil nut,NOUN,food,0.9006211180124224,66,12,79,4,1.13793103448276,0.34782608695652195,-18.92850629028698,-16.724378779179425,2.5,4.96551724137931,3.96666666666667,4.07692307692308,3.48275862068966,29,0.8787878787878777,23,1.347826086956522,0.7419354838709676,mm_mar_2013,A BRAZIL NUT,a,BRAZIL NUT,brazil nut,1.0,0.04819277108433735,0.8461538461538461
30,A BRAZILIAN,a brazilian,NOUN,people,0.8579545454545454,79,18,72,7,1.53846153846154,0.43478260869565205,-14.92150905893021,-11.98904005827196,3.52,4.08,4.57692307692308,3.44444444444444,3.5,26,0.6499999999999994,23,1.434782608695652,0.6969696969696971,mm_mar_2013,A BRAZILIAN,a,BRAZILIAN,brazilian,1.0,0.08860759493670886,0.8144329896907216
31,A BROILER,a broiler,NOUN,household item,0.773972602739726,45,24,68,9,1.5666666666666698,1.0,-16.769922631072745,-14.009081625774936,2.71428571428571,4.40909090909091,4.58620689655172,4.08,3.28571428571429,30,0.6382978723404242,23,2.0,0.5,mm_mar_2013,A BROILER,a,BROILER,broiler,1.0,0.11688311688311688,0.6521739130434783
32,A BROWNIE,a brownie,NOUN,food,0.8662420382165605,55,19,81,2,1.61538461538462,0.48,-16.224316216490838,-13.919904760573145,3.34782608695652,4.653846153846151,4.92307692307692,4.86666666666667,4.64285714285714,26,0.6190476190476173,25,1.48,0.6756756756756757,mm_mar_2013,A BROWNIE,a,BROWNIE,brownie,1.0,0.024096385542168683,0.7432432432432432
33,A BUDDHIST,a buddhist,NOUN,people,0.8389261744966443,55,15,70,9,1.18518518518519,0.0384615384615385,-13.986755248346048,-11.476993598705617,2.7391304347826098,3.80769230769231,4.30769230769231,3.7,3.5714285714285694,27,0.8437499999999966,26,1.0384615384615383,0.9629629629629628,mm_mar_2013,A BUDDHIST,a,BUDDHIST,buddhist,1.0,0.1139240506329114,0.7857142857142857
34,A BUFFALO,a buffalo,NOUN,living things,0.8066298342541437,64,24,82,11,1.23333333333333,0.695652173913043,-15.016951153393643,-11.874435003812922,3.3333333333333304,4.82608695652174,4.78571428571429,4.84,3.28571428571429,30,0.810810810810813,23,1.6956521739130432,0.5897435897435899,mm_mar_2013,A BUFFALO,a,BUFFALO,buffalo,1.0,0.11827956989247312,0.7272727272727273
35,A BUILDING,a building,NOUN,human dwelling,0.7680412371134021,60,33,89,12,1.55555555555556,2.46153846153846,-12.085264074663234,-8.87681714969897,2.3636363636363598,4.703703703703701,4.888888888888889,4.28571428571429,3.30769230769231,27,0.642857142857141,26,3.4615384615384603,0.28888888888888903,mm_mar_2013,A BUILDING,a,BUILDING,building,1.0,0.1188118811881188,0.6451612903225806
36,A BULLFIGHTER,a bullfighter,NOUN,people,0.8238993710691824,52,24,79,4,1.1,0.653846153846154,-17.214085017231685,-16.073679473208596,4.77272727272727,4.44827586206897,4.4666666666666694,4.692307692307691,2.7666666666666697,30,0.9090909090909092,26,1.653846153846154,0.6046511627906976,mm_mar_2013,A BULLFIGHTER,a,BULLFIGHTER,bullfighter,1.0,0.04819277108433735,0.6842105263157895
37,A BUM,a bum,NOUN,people,0.8580246913580247,61,16,78,7,2.2592592592592595,3.11538461538462,-15.146137825118489,-13.030502462300136,2.2727272727272703,4.18518518518519,4.53571428571429,4.03571428571429,1.96153846153846,27,0.44262295081967207,26,4.115384615384619,0.2429906542056072,mm_mar_2013,A BUM,a,BUM,bum,1.0,0.08235294117647059,0.7922077922077922
38,A BUREAUCRAT,a bureaucrat,NOUN,people,0.8211920529801324,47,23,77,4,1.11111111111111,1.4,-16.05964548812398,-14.219791472517796,2.3333333333333304,3.73076923076923,4.481481481481481,2.85714285714286,2.23076923076923,27,0.9000000000000009,25,2.4,0.4166666666666667,mm_mar_2013,A BUREAUCRAT,a,BUREAUCRAT,bureaucrat,1.0,0.04938271604938271,0.6714285714285714
39,A BURGER,a burger,NOUN,food,0.8529411764705882,57,22,88,3,1.34615384615385,1.20833333333333,-14.915589901429364,-12.693106285580956,3.1304347826087002,4.91666666666667,5.0,4.95833333333333,3.8333333333333304,26,0.7428571428571407,24,2.2083333333333304,0.452830188679246,mm_mar_2013,A BURGER,a,BURGER,burger,1.0,0.03296703296703297,0.7215189873417721
40,A BURRITO,a burrito,NOUN,food,0.8975903614457831,68,12,81,5,1.23076923076923,0.23809523809523803,-16.871798842905328,-15.06317565221224,3.0,4.55555555555556,4.89285714285714,4.79310344827586,4.0,26,0.8125000000000006,21,1.2380952380952381,0.8076923076923078,mm_mar_2013,A BURRITO,a,BURRITO,burrito,1.0,0.05813953488372092,0.85
41,A BUSYBODY,a busybody,NOUN,people,0.8764705882352941,62,17,87,4,1.04166666666667,2.4,-16.88875329578079,-15.542503132028706,3.65217391304348,2.7083333333333304,4.63636363636364,2.6666666666666696,2.2666666666666697,24,0.9599999999999967,25,3.4,0.29411764705882354,mm_mar_2013,A BUSYBODY,a,BUSYBODY,busybody,1.0,0.04395604395604396,0.7848101265822784
42,A BUTTER KNIFE,a butter knife,NOUN,household item,0.8652482269503546,56,12,66,7,1.0,0.6,-16.643212650481054,-16.097405660279613,1.6956521739130401,4.9,5.0,4.807692307692309,3.10714285714286,24,1.0,20,1.6,0.625,mm_mar_2013,A BUTTER KNIFE,a,BUTTER KNIFE,butter knife,1.0,0.0958904109589041,0.8235294117647058
43,A BUTTERCUP,a buttercup,NOUN,living things,0.8722222222222222,67,20,90,3,1.56,0.91304347826087,-17.710055538348005,-14.897980900537226,2.60869565217391,4.70833333333333,4.59090909090909,4.75,4.0,25,0.641025641025641,23,1.91304347826087,0.5227272727272726,mm_mar_2013,A BUTTERCUP,a,BUTTERCUP,buttercup,1.0,0.03225806451612903,0.7701149425287356
44,A BUZZARD,a buzzard,NOUN,living things,0.8015873015873016,39,19,62,6,1.5416666666666698,0.8947368421052628,-16.74714734638647,-14.578597063938538,3.0,4.65,4.68965517241379,4.53846153846154,2.10714285714286,24,0.6486486486486472,19,1.8947368421052633,0.5277777777777778,mm_mar_2013,A BUZZARD,a,BUZZARD,buzzard,1.0,0.08823529411764706,0.6724137931034483
45,A CABIN,a cabin,NOUN,human dwelling,0.7837837837837838,60,28,85,12,1.2962962962963,2.25,-14.216354719896472,-11.119575810069618,2.56,4.68,4.807692307692309,4.57692307692308,4.1,27,0.7714285714285692,24,3.25,0.3076923076923077,mm_mar_2013,A CABIN,a,CABIN,cabin,1.0,0.12371134020618554,0.6818181818181818
46,A CAKE,a cake,NOUN,food,0.8050314465408805,49,26,79,5,1.1923076923076898,1.5833333333333302,-13.727821471197725,-11.060299381800242,3.4782608695652204,4.875,5.0,4.75,4.36666666666667,26,0.8387096774193564,24,2.5833333333333304,0.3870967741935489,mm_mar_2013,A CAKE,a,CAKE,cake,1.0,0.05952380952380953,0.6533333333333333
47,A CANADIAN,a canadian,NOUN,people,0.8627450980392157,57,15,75,6,1.10714285714286,0.28,-13.571762515755319,-10.54846572075116,2.3043478260869596,4.15384615384615,4.730769230769231,3.0,3.53571428571429,28,0.9032258064516104,25,1.28,0.78125,mm_mar_2013,A CANADIAN,a,CANADIAN,canadian,1.0,0.07407407407407407,0.7916666666666666
48,A CANAL,a canal,NOUN,earth formation,0.7528735632183908,51,32,80,11,1.6551724137931,1.69230769230769,-14.491662388931134,-11.139613826857083,2.2272727272727297,4.31034482758621,4.44827586206897,4.375,3.13333333333333,29,0.6041666666666679,26,2.69230769230769,0.3714285714285718,mm_mar_2013,A CANAL,a,CANAL,canal,1.0,0.12087912087912088,0.6144578313253012
49,A CANISTER,a canister,NOUN,container,0.76875,40,32,83,5,1.16666666666667,2.05,-16.253875039276835,-13.931873292849135,2.0952380952381,4.33333333333333,4.78571428571429,4.103448275862069,2.9615384615384603,24,0.8571428571428547,20,3.05,0.3278688524590164,mm_mar_2013,A CANISTER,a,CANISTER,canister,1.0,0.05681818181818181,0.5555555555555556
50,A CANYON,a canyon,NOUN,earth formation,0.7734806629834254,56,30,84,11,1.3703703703703702,2.0,-15.526024536589773,-11.923607013347098,3.6956521739130404,4.42307692307692,4.89285714285714,4.48275862068965,3.5,27,0.7297297297297299,25,3.0,0.3333333333333333,mm_mar_2013,A CANYON,a,CANYON,canyon,1.0,0.11578947368421053,0.6511627906976745
51,A CARNATION,a carnation,NOUN,living things,0.7820512820512819,46,30,76,4,1.31034482758621,0.22727272727272702,-17.281621202680306,-14.737337488384506,2.76190476190476,4.36363636363636,4.64285714285714,4.84,4.071428571428569,29,0.7631578947368404,22,1.227272727272727,0.8148148148148149,mm_mar_2013,A CARNATION,a,CARNATION,carnation,1.0,0.05,0.6052631578947368
52,A CARROT,a carrot,NOUN,food,0.88268156424581,77,20,81,1,1.22222222222222,0.0416666666666667,-14.991780758635265,-12.719753349042735,2.2727272727272703,4.8846153846153895,4.89285714285714,4.8148148148148096,3.52,27,0.8181818181818196,24,1.0416666666666667,0.96,mm_mar_2013,A CARROT,a,CARROT,carrot,1.0,0.012195121951219513,0.7938144329896907
53,A CARVING FORK,a carving fork,NOUN,household item,0.8258064516129032,51,21,77,6,1.03703703703704,0.708333333333333,-20.11673072856476,-19.131824310803363,2.52173913043478,4.62962962962963,4.55555555555556,4.37931034482759,3.07692307692308,27,0.9642857142857114,24,1.708333333333333,0.5853658536585367,mm_mar_2013,A CARVING FORK,a,CARVING FORK,carving fork,1.0,0.07228915662650602,0.7083333333333334
54,A CASHEW,a cashew,NOUN,food,0.8611111111111112,69,19,86,6,1.1,0.46153846153846206,-18.303757764343892,-14.443998258658713,2.40909090909091,4.86206896551724,4.76666666666667,4.692307692307691,3.93333333333333,30,0.9090909090909092,26,1.461538461538462,0.6842105263157892,mm_mar_2013,A CASHEW,a,CASHEW,cashew,1.0,0.06521739130434782,0.7840909090909091
55,A CASHIER,a cashier,NOUN,people,0.7882352941176469,56,26,78,10,1.08,1.5,-15.572673920704016,-13.529718923025786,2.17391304347826,4.5,4.925925925925929,4.23076923076923,3.14285714285714,25,0.9259259259259258,20,2.5,0.4,mm_mar_2013,A CASHIER,a,CASHIER,cashier,1.0,0.11363636363636365,0.6829268292682927
56,A CASSEROLE,a casserole,NOUN,food,0.8639455782312925,56,15,71,5,1.12,1.1,-15.663660792880735,-13.443768577457602,1.8695652173913,4.85,4.93103448275862,4.19230769230769,3.71428571428571,25,0.8928571428571428,20,2.1,0.4761904761904762,mm_mar_2013,A CASSEROLE,a,CASSEROLE,casserole,1.0,0.06578947368421052,0.7887323943661971
57,A CASTLE,a castle,NOUN,human dwelling,0.8181818181818182,58,17,68,11,1.48148148148148,2.12,-13.887669825540982,-10.774557849697716,4.130434782608701,4.518518518518519,4.96428571428571,4.82758620689655,3.84615384615385,27,0.6750000000000006,25,3.12,0.3205128205128205,mm_mar_2013,A CASTLE,a,CASTLE,castle,1.0,0.13924050632911392,0.7733333333333333
58,A CATAMARAN,a catamaran,NOUN,vehicle,0.8294117647058824,60,20,81,9,1.0,0.631578947368421,-17.309068699550075,-15.522874266987202,3.39130434782609,4.29166666666667,3.04545454545455,3.9166666666666696,3.6,18,1.0,19,1.631578947368421,0.6129032258064516,mm_mar_2013,A CATAMARAN,a,CATAMARAN,catamaran,1.0,0.1,0.75
59,A CAVE,a cave,NOUN,earth formation,0.7586206896551724,53,28,79,14,1.3666666666666698,1.96153846153846,-13.365432217284573,-11.11278817879884,3.04545454545455,4.6551724137931,4.83333333333333,4.692307692307691,3.03333333333333,30,0.7317073170731689,26,2.9615384615384603,0.33766233766233783,mm_mar_2013,A CAVE,a,CAVE,cave,1.0,0.15053763440860216,0.654320987654321
60,A CAVERN,a cavern,NOUN,earth formation,0.7959183673469388,61,32,95,8,1.25,1.6,-15.574890206733807,-12.899619739493508,3.1304347826087002,4.7,4.6551724137931,4.28,3.21428571428571,24,0.8,20,2.6,0.3846153846153846,mm_mar_2013,A CAVERN,a,CAVERN,cavern,1.0,0.07766990291262135,0.6559139784946236
61,A CEILING FAN,a ceiling fan,NOUN,furniture,0.8060606060606059,56,22,77,10,1.0,0.36,-16.971097852203506,-15.458199471477348,2.39130434782609,4.79166666666667,4.90909090909091,4.75,3.43333333333333,26,1.0,25,1.36,0.7352941176470589,mm_mar_2013,A CEILING FAN,a,CEILING FAN,ceiling fan,1.0,0.11494252873563217,0.7179487179487181
62,A CELEBRITY,a celebrity,NOUN,people,0.875,71,15,83,7,1.23076923076923,2.2083333333333304,-13.985266968370327,-12.126201466553045,3.82608695652174,3.9166666666666696,4.72727272727273,3.4583333333333304,3.2666666666666697,26,0.8125000000000006,24,3.2083333333333304,0.311688311688312,mm_mar_2013,A CELEBRITY,a,CELEBRITY,celebrity,1.0,0.07777777777777778,0.8255813953488372
63,A CHAMPAGNE FLUTE,a champagne flute,NOUN,household item,0.9310344827586208,62,8,73,2,1.08333333333333,0.652173913043478,-17.685312733959925,-16.504743154887517,3.3043478260869596,4.53846153846154,4.03571428571429,4.48275862068965,3.73076923076923,24,0.9230769230769259,23,1.652173913043478,0.6052631578947371,mm_mar_2013,A CHAMPAGNE FLUTE,a,CHAMPAGNE FLUTE,champagne flute,1.0,0.02666666666666667,0.8857142857142857
64,A CHARCOAL GRILL,a charcoal grill,NOUN,furniture,0.8636363636363636,70,15,82,9,1.0,0.56,-16.720755281708662,-16.173159510798516,2.95454545454545,4.888888888888889,4.85714285714286,4.57142857142857,3.80769230769231,27,1.0,25,1.56,0.641025641025641,mm_mar_2013,A CHARCOAL GRILL,a,CHARCOAL GRILL,charcoal grill,1.0,0.0989010989010989,0.8235294117647058
65,A CHARLATAN,a charlatan,NOUN,people,0.8295454545454546,62,21,84,9,1.2173913043478302,2.14285714285714,-15.896637746388974,-15.016578469823894,3.2272727272727297,3.03703703703704,3.64285714285714,2.46428571428571,2.24,23,0.8214285714285688,21,3.14285714285714,0.31818181818181845,mm_mar_2013,A CHARLATAN,a,CHARLATAN,charlatan,1.0,0.0967741935483871,0.7469879518072289
66,A CHEERLEADER,a cheerleader,NOUN,people,0.8680555555555556,60,8,65,11,1.38461538461538,0.88,-15.556206842290688,-14.285810984842989,3.8636363636363598,4.30769230769231,4.88,4.6,4.178571428571431,26,0.7222222222222247,25,1.88,0.5319148936170213,mm_mar_2013,A CHEERLEADER,a,CHEERLEADER,cheerleader,1.0,0.14473684210526316,0.8823529411764706
67,A CHEESE GRATER,a cheese grater,NOUN,household item,0.9080459770114944,77,7,81,9,1.03703703703704,0.16,-17.677104753331843,-17.17958500912999,2.0,4.846153846153849,4.92,4.9,3.28571428571429,27,0.9642857142857114,25,1.16,0.8620689655172414,mm_mar_2013,A CHEESE GRATER,a,CHEESE GRATER,cheese grater,1.0,0.1,0.9166666666666666
68,A CHERRY,a cherry,NOUN,food,0.7718120805369127,50,23,65,11,1.56,0.791666666666667,-14.859643543698315,-11.902747865128354,3.1304347826087002,4.875,4.90909090909091,4.95833333333333,4.0333333333333306,25,0.641025641025641,24,1.791666666666667,0.5581395348837208,mm_mar_2013,A CHERRY,a,CHERRY,cherry,1.0,0.14473684210526316,0.6849315068493149
69,A CHERRY BLOSSOM,a cherry blossom,NOUN,living things,0.8603351955307262,66,19,88,6,1.1923076923076898,0.32,-18.61613156036149,-15.896637777527669,3.17391304347826,4.79166666666667,4.72727272727273,4.70833333333333,4.3,26,0.8387096774193564,25,1.32,0.7575757575757576,mm_mar_2013,A CHERRY BLOSSOM,a,CHERRY BLOSSOM,cherry blossom,1.0,0.06382978723404255,0.7764705882352941
70,A CHEVROLET,a chevrolet,NOUN,vehicle,0.8627450980392157,60,13,72,8,1.07407407407407,0.48,-16.883460715568642,-14.179153243919973,2.72,4.48,4.769230769230769,4.296296296296299,3.6551724137931,27,0.9310344827586242,25,1.48,0.6756756756756757,mm_mar_2013,A CHEVROLET,a,CHEVROLET,chevrolet,1.0,0.1,0.821917808219178
71,A CHICKADEE,a chickadee,NOUN,living things,0.8807947019867549,56,16,77,2,1.3478260869565202,0.7647058823529409,-18.260995957113465,-15.952248138066635,2.7391304347826098,4.84210526315789,3.96551724137931,3.30769230769231,3.85714285714286,23,0.7419354838709687,17,1.7647058823529411,0.5666666666666667,mm_mar_2013,A CHICKADEE,a,CHICKADEE,chickadee,1.0,0.02531645569620253,0.7777777777777778
72,A CHILD,a child,NOUN,family relations,0.7608695652173914,50,36,90,8,1.61538461538462,3.5,-10.133007055841293,-8.40592501955684,3.04,4.5,4.807692307692309,4.7407407407407405,4.33333333333333,26,0.6190476190476173,24,4.5,0.2222222222222222,mm_mar_2013,A CHILD,a,CHILD,child,1.0,0.08163265306122447,0.5813953488372093
