,word_upper,word_lower,syntactic_category,semantic_category,acc,hits,misses,correct.rejections,false.alarms,# meanings (human),# synonyms (human),Google n-gram frequency,Google n-gram frequency no article,Arousal,Concreteness,Familiarity,Imageability,Valence,# subjects (human) meanings,1/# meanings (human),# subjects (human) synonyms,# synonyms (human) + 1,1/# synonyms (human),experiment_date,input_trial,article,word_no_article_upper,word_no_article_lower,multi_word,false.alarm.rate,hit.rate
973,INEXPENSIVE,inexpensive,ADJ,,0.7512953367875648,52,41,93,7,1.17241379310345,3.18518518518519,-12.43769604940712,-12.43769604940712,2.90909090909091,1.93103448275862,4.66666666666667,1.96153846153846,3.7,29,0.8529411764705871,27,4.1851851851851904,0.23893805309734484,mm_mar_2013,INEXPENSIVE,,INEXPENSIVE,inexpensive,0.0,0.07,0.5591397849462365
974,INEZ,inez,NOUN,common names,0.8594594594594595,74,24,85,2,1.0,0.0,-14.386022399214358,-14.386022399214358,2.42857142857143,3.3333333333333304,2.5,1.82758620689655,3.0384615384615397,16,1.0,11,1.0,1.0,mm_mar_2013,INEZ,,INEZ,inez,0.0,0.02298850574712644,0.7551020408163265
975,INGRID,ingrid,NOUN,common names,0.8431372549019608,54,20,75,4,1.24,0.136363636363636,-13.371163558255255,-13.371163558255255,3.14285714285714,3.51724137931034,2.93333333333333,2.68,2.93333333333333,25,0.8064516129032259,22,1.136363636363636,0.8800000000000002,mm_mar_2013,INGRID,,INGRID,ingrid,0.0,0.05063291139240506,0.7297297297297297
976,INTENTIONAL,intentional,ADJ,,0.6686746987951807,32,48,79,7,1.06666666666667,2.52173913043478,-11.797234175312289,-11.797234175312289,3.28571428571429,1.95652173913043,4.62068965517241,1.64,2.96428571428571,30,0.9374999999999972,23,3.5217391304347796,0.2839506172839508,mm_mar_2013,INTENTIONAL,,INTENTIONAL,intentional,0.0,0.08139534883720931,0.4
977,INTRUSIVE,intrusive,ADJ,,0.6257309941520468,38,43,69,21,1.23076923076923,2.84,-12.860047643428604,-12.860047643428604,3.4782608695652204,1.875,4.72727272727273,1.625,1.9,26,0.8125000000000006,25,3.84,0.2604166666666667,mm_mar_2013,INTRUSIVE,,INTRUSIVE,intrusive,0.0,0.2333333333333333,0.4691358024691358
978,IOWA,iowa,NOUN,geography,0.83125,53,23,80,4,1.07407407407407,0.125,-11.93864887167414,-11.93864887167414,2.13636363636364,4.730769230769231,4.71428571428571,3.89655172413793,3.15384615384615,27,0.9310344827586242,24,1.125,0.8888888888888888,mm_mar_2013,IOWA,,IOWA,iowa,0.0,0.047619047619047616,0.6973684210526315
979,IRATE,irate,ADJ,,0.7797619047619048,47,34,84,3,1.16666666666667,3.72,-14.173767312483745,-14.173767312483745,4.5,1.82758620689655,4.4666666666666694,2.69230769230769,1.6,30,0.8571428571428547,25,4.7200000000000015,0.21186440677966095,mm_mar_2013,IRATE,,IRATE,irate,0.0,0.03448275862068965,0.5802469135802469
980,IRMA,irma,NOUN,common names,0.7687861271676301,55,28,78,12,1.4117647058823501,0.0,-14.162675993306445,-14.162675993306445,2.0454545454545503,3.57692307692308,2.88461538461538,2.7,3.03571428571429,17,0.7083333333333348,18,1.0,1.0,mm_mar_2013,IRMA,,IRMA,irma,0.0,0.13333333333333333,0.6626506024096386
981,IRVING WALLACE,irving wallace,NOUN,famous people,0.7379310344827587,33,37,74,1,1.0,0.0,-19.109845374657752,-19.109845374657752,2.3333333333333304,4.95,2.27586206896552,3.23076923076923,3.3214285714285694,20,1.0,13,1.0,1.0,mm_mar_2013,IRVING WALLACE,,IRVING WALLACE,irving wallace,1.0,0.013333333333333334,0.4714285714285714
982,ISTANBUL,istanbul,NOUN,geography,0.8726114649681529,59,17,78,3,1.0434782608695699,0.260869565217391,-12.57298575827524,-12.57298575827524,3.43478260869565,4.54166666666667,4.0,4.16666666666667,3.2,23,0.9583333333333288,23,1.2608695652173911,0.7931034482758622,mm_mar_2013,ISTANBUL,,ISTANBUL,istanbul,0.0,0.037037037037037035,0.7763157894736842
983,ITALY,italy,NOUN,geography,0.8793969849246231,63,22,112,2,1.0,0.08,-10.223306145456666,-10.223306145456666,3.5217391304347796,4.769230769230769,4.730769230769231,4.43333333333333,4.071428571428569,26,1.0,25,1.08,0.9259259259259258,mm_mar_2013,ITALY,,ITALY,italy,0.0,0.017543859649122806,0.7411764705882353
984,IVAN,ivan,NOUN,common names,0.810126582278481,53,23,75,7,1.25925925925926,0.0,-12.14044656495732,-12.14044656495732,2.82608695652174,3.77777777777778,3.10714285714286,3.13793103448276,3.0,27,0.7941176470588229,25,1.0,1.0,mm_mar_2013,IVAN,,IVAN,ivan,0.0,0.08536585365853659,0.6973684210526315
