,word_upper,word_lower,word_lower_no_article,article,syntactic_category,category,subcategory_1,subcategory_2,subcategory_3,acc,hits,misses,correct_rejections,false_alarms,false_alarm_rate,hit_rate,# meanings (human),# synonyms (human),Log Subtlex frequency,Log Subtlex CD,Google n-gram frequency,Concreteness,Imageability,Familiarity,Valence,Arousal,num_ratings_meanings,num_ratings_synonyms,multi_word
20,UNFETTERED,unfettered,unfettered,,ADJ,,,,,0.7891891891891892,53,36,93,3,0.03125,0.5955056179775281,1.0416666666666667,2.272727272727273,1.2788,1.2553,-13.722043153854877,1.72413793103448,1.42307692307692,3.43333333333333,3.48,2.81818181818182,24.0,22.0,0.0
21,TO LOLL,to loll,loll,to,VERB,,,,,0.8630952380952381,61,17,84,6,0.0666666666666666,0.782051282051282,1.2857142857142858,2.125,0.7782,0.699,-17.505857112238793,2.24137931034483,1.73076923076923,3.1,3.16666666666667,1.76190476190476,14.0,16.0,1.0
22,ROBERT HAYDEN,robert hayden,robert hayden,,NOUN,famous people,Literature,,,0.7677419354838709,42,33,77,3,0.0375,0.56,1.0,0.0,,,-17.429098471319517,4.5,3.46153846153846,1.6,3.16,2.68181818181818,22.0,20.0,1.0
23,TO VACUUM,to vacuum,vacuum,to,VERB,,,,,0.8303030303030303,63,15,74,13,0.1494252873563218,0.8076923076923077,1.3,1.0384615384615383,2.4698,2.3201,-15.897293856257408,3.71428571428571,4.19230769230769,4.79310344827586,3.16,2.22727272727273,30.0,26.0,1.0
24,MALLORY,mallory,mallory,,NOUN,common names,girl,,,0.8604651162790697,66,15,82,9,0.0989010989010989,0.8148148148148148,1.2173913043478262,0.0,,,-13.122367813725598,3.60714285714286,2.38461538461538,2.82758620689655,3.12,2.90909090909091,23.0,19.0,0.0
25,TO OCCUR,to occur,occur,to,VERB,,,,,0.6684782608695652,42,47,81,14,0.1473684210526315,0.4719101123595505,1.2666666666666666,2.576923076923077,2.5798,2.5289,-11.540467277921488,2.27586206896552,1.32,4.53333333333333,3.24,3.04545454545455,30.0,26.0,1.0
26,A GOVERNESS,a governess,governess,a,NOUN,people,Family,,,0.869281045751634,57,16,76,4,0.05,0.7808219178082192,1.1666666666666667,1.12,1.7404,1.4472,-14.971900091182992,3.6551724137931,3.03846153846154,3.63333333333333,3.28,2.63636363636364,30.0,25.0,1.0
27,CONVINCING,convincing,convincing,,ADJ,,,,,0.6666666666666666,37,32,57,15,0.2083333333333333,0.5362318840579711,1.3,2.814814814814815,2.549,2.4983,-11.62576279396912,1.6551724137931,1.88461538461538,4.66666666666667,3.68,3.27272727272727,30.0,27.0,0.0
28,TO STRAGGLE,to straggle,straggle,to,VERB,,,,,0.73125,48,29,69,14,0.1686746987951807,0.6233766233766234,1.35,2.35,0.301,0.301,-17.75249863015519,2.27586206896552,2.15384615384615,3.53333333333333,2.16,2.54545454545455,20.0,20.0,1.0
29,TO CHAPERONE,to chaperone,chaperone,to,VERB,,,,,0.8,52,22,72,9,0.1111111111111111,0.7027027027027027,1.0666666666666669,1.6,2.0043,1.9138,-16.819839072829023,2.89285714285714,2.80769230769231,4.36666666666667,3.24,1.86363636363636,30.0,25.0,1.0
30,SHRILL,shrill,shrill,,ADJ,,,,,0.7857142857142857,53,35,90,4,0.0425531914893617,0.6022727272727273,1.2,2.652173913043478,1.3979,1.3424,-12.983222752699971,2.24137931034483,2.07692307692308,4.13333333333333,1.96,3.77272727272727,30.0,23.0,0.0
31,ZINC,zinc,zinc,,NOUN,chemical element,metal,famous,,0.8529411764705882,60,20,85,5,0.0555555555555555,0.75,1.2413793103448276,0.1923076923076923,1.6435,1.5051,-11.63980302685234,4.27586206896552,2.96153846153846,3.93333333333333,3.12,1.9047619047619,29.0,26.0,0.0
32,A BRAZIL NUT,a brazil nut,brazil nut,a,NOUN,food,nut,,,0.9006211180124224,66,12,79,4,0.0481927710843373,0.8461538461538461,1.137931034482759,0.3478260869565217,,,-18.92850629028698,4.96551724137931,4.07692307692308,3.96666666666667,3.54166666666667,2.5,29.0,23.0,1.0
33,CATHERINE DE MEDICI,catherine de medici,catherine de medici,,NOUN,famous people,"Politicians,history",,,0.8024691358024691,49,30,81,2,0.0240963855421686,0.620253164556962,1.0,0.1052631578947368,,,-16.74997382951609,4.55172413793103,3.46153846153846,2.2,3.04,2.86363636363636,20.0,19.0,1.0
34,A PATRIOT,a patriot,patriot,a,NOUN,people,Politics,,,0.7880794701986755,52,20,67,12,0.1518987341772152,0.7222222222222222,1.4666666666666666,1.7692307692307692,2.1271,1.9823,-15.05541744279124,2.6551724137931,3.08,4.43333333333333,3.92,3.40909090909091,30.0,26.0,1.0
35,TO ENTICE,to entice,entice,to,VERB,,,,,0.6666666666666666,36,43,74,12,0.1395348837209302,0.4556962025316455,1.3,2.7777777777777777,1.4314,1.415,-14.19431736694237,1.96551724137931,2.07692307692308,4.4,3.58333333333333,4.22727272727273,30.0,27.0,1.0
36,A HEN,a hen,hen,a,NOUN,living things,animal,bird,,0.8421052631578947,59,23,85,4,0.0449438202247191,0.7195121951219512,1.4333333333333331,1.2,2.2148,2.0334,-14.706312566384373,4.82758620689655,4.92307692307692,4.76666666666667,3.33333333333333,2.31818181818182,30.0,25.0,1.0
37,CHARLEMAGNE,charlemagne,charlemagne,,NOUN,famous people,"Politicians,history",,,0.902439024390244,67,13,81,3,0.0357142857142857,0.8375,1.173913043478261,0.05,,,-13.334715860412643,4.06896551724138,2.96153846153846,3.46666666666667,2.96,3.13636363636364,23.0,20.0,0.0
38,A HOMELESS SHELTER,a homeless shelter,homeless shelter,a,NOUN,human dwelling,,,,0.8597560975609756,58,18,83,5,0.0568181818181818,0.7631578947368421,1.0666666666666669,1.1851851851851851,,,-16.2962749297224,4.37931034482759,4.15384615384615,4.6,2.24,2.40909090909091,30.0,27.0,1.0
39,GRACEFUL,graceful,graceful,,ADJ,,,,,0.7032967032967034,35,43,93,11,0.1057692307692307,0.4487179487179487,1.1666666666666667,3.2222222222222223,2.0755,2.0334,-12.441815709131948,1.86206896551724,2.80769230769231,4.55172413793103,4.48,2.81818181818182,30.0,27.0,0.0
40,A LOUSE,a louse,louse,a,NOUN,living things,animal,invertebrate,insect,0.8098591549295775,46,23,69,4,0.0547945205479452,0.6666666666666666,1.6666666666666667,2.176470588235294,1.9395,1.8062,-16.367253718393407,3.53571428571429,2.61538461538462,3.36666666666667,1.6,2.27272727272727,24.0,17.0,1.0
41,VENGEFUL,vengeful,vengeful,,ADJ,,,,,0.7428571428571429,42,42,88,3,0.0329670329670329,0.5,1.1333333333333333,2.68,1.716,1.6812,-13.87135095414124,1.51724137931034,2.03846153846154,4.33333333333333,1.45833333333333,4.40909090909091,30.0,25.0,0.0
42,TO MELT,to melt,melt,to,VERB,,,,,0.696969696969697,38,40,77,10,0.1149425287356321,0.4871794871794871,1.6333333333333333,1.6538461538461535,2.5729,2.4281,-13.48474935316147,3.03448275862069,3.96153846153846,4.8,3.2,2.72727272727273,30.0,26.0,1.0
43,INGRID,ingrid,ingrid,,NOUN,common names,girl,,,0.8431372549019608,54,20,75,4,0.050632911392405,0.7297297297297297,1.24,0.1363636363636363,,,-13.371163558255256,3.51724137931034,2.68,2.93333333333333,2.96,3.14285714285714,25.0,22.0,0.0
44,TO WHIZ,to whiz,whiz,to,VERB,,,,,0.9210526315789472,60,10,80,2,0.024390243902439,0.8571428571428571,1.5384615384615383,2.7916666666666665,2.301,2.2253,-18.17204845619671,2.39285714285714,2.07692307692308,3.4,3.0,3.68181818181818,26.0,24.0,1.0
45,TO COST,to cost,cost,to,VERB,,,,,0.5843373493975904,28,41,69,28,0.2886597938144329,0.4057971014492754,1.5333333333333334,2.1481481481481484,3.4475,3.3002,-13.510779504733978,2.24137931034483,1.61538461538462,4.53333333333333,2.32,2.90909090909091,30.0,27.0,1.0
46,NAIROBI,nairobi,nairobi,,NOUN,geography,world,country,,0.8313253012048193,57,25,81,3,0.0357142857142857,0.6951219512195121,1.0454545454545454,0.0526315789473684,,,-13.13659660423195,4.31034482758621,3.5,2.96551724137931,3.16,2.90909090909091,22.0,19.0,0.0
47,TO LEND,to lend,lend,to,VERB,,,,,0.6666666666666666,40,50,86,13,0.1313131313131313,0.4444444444444444,1.4137931034482758,2.423076923076923,2.7752,2.6857,-13.060137613779789,2.48275862068966,2.57692307692308,4.66666666666667,3.44,2.40909090909091,29.0,26.0,1.0
48,DEION SANDERS,deion sanders,deion sanders,,NOUN,famous people,Sports,,,0.8544303797468354,62,15,73,8,0.0987654320987654,0.8051948051948052,1.0,0.0454545454545454,,,-17.95831065626303,4.72413793103448,4.30769230769231,3.26666666666667,3.16,3.22727272727273,25.0,22.0,1.0
49,SCATTERGORIES,scattergories,scattergories,,NOUN,games,board game,famous,,0.9005847953216374,65,16,89,1,0.0111111111111111,0.8024691358024691,1.0454545454545454,0.1578947368421052,,,-19.57513342879744,4.13793103448276,3.42307692307692,3.4,3.56,3.27272727272727,22.0,19.0,0.0
50,GENESIS,genesis,genesis,,NOUN,famous people,"Bands,singers",,,0.8756756756756757,73,16,89,7,0.0729166666666666,0.8202247191011236,1.9,2.269230769230769,,,-11.441858232365568,2.82758620689655,2.0,4.03333333333333,3.32,3.31818181818182,30.0,26.0,0.0
51,A UTILITY KNIFE,a utility knife,utility knife,a,NOUN,tool,,,,0.8853503184713376,58,16,81,2,0.0240963855421686,0.7837837837837838,1.1428571428571428,1.1538461538461535,,,-17.577345735958012,4.79310344827586,4.57692307692308,4.73333333333333,3.16,3.04545454545455,28.0,26.0,1.0
52,CHANTEL,chantel,chantel,,NOUN,common names,girl,,,0.8308823529411765,48,17,65,6,0.0845070422535211,0.7384615384615385,1.1363636363636365,0.0,,,-15.580274427103406,3.31034482758621,2.42307692307692,2.33333333333333,3.04,3.04545454545455,22.0,17.0,0.0
53,TO DISDAIN,to disdain,disdain,to,VERB,,,,,0.7404580152671756,40,24,57,10,0.1492537313432835,0.625,1.1785714285714286,2.7916666666666665,1.4472,1.3979,-16.590659829867597,1.79310344827586,1.61538461538462,3.76666666666667,1.76,3.0,28.0,24.0,1.0
